角色名,vote_01,vote_02,vote_03,vote_04,vote_05,vote_06,vote_07,vote_08,vote_09,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21
上海人偶,,,3.0,108.0,190.0,,,,,,,,,,,,,,,,
梦月,,,2.0,3.0,8.0,24.0,55.0,70.0,117.0,94.0,160.0,308.0,314.0,247.0,184.0,256.0,251.0,299.0,267.0,477.0,912.0
胡桃,,,2.0,1.0,12.0,31.0,59.0,74.0,138.0,75.0,97.0,166.0,161.0,147.0,130.0,174.0,205.0,231.0,230.0,194.0,520.0
明罗,,,2.0,1.0,14.0,43.0,78.0,79.0,83.0,34.0,56.0,86.0,86.0,80.0,70.0,76.0,80.0,109.0,154.0,217.0,217.0
玛丽,,,2.0,,,,,,,,,,,,,,,,,,
萨拉,,,1.0,,7.0,7.0,21.0,34.0,29.0,37.0,22.0,55.0,43.0,39.0,36.0,40.0,44.0,41.0,75.0,54.0,87.0
梦子,,,1.0,9.0,32.0,52.0,119.0,136.0,171.0,125.0,135.0,244.0,256.0,167.0,174.0,192.0,221.0,272.0,288.0,281.0,482.0
其他,,,1.0,,,,,,,,,,,,,,,,,,
射命丸文,,,,886.0,3774.0,3738.0,4076.0,5620.0,7016.0,4638.0,4640.0,7625.0,6476.0,4978.0,3937.0,5289.0,5799.0,6607.0,6429.0,7235.0,10133.0
伊吹萃香,,,,422.0,1454.0,2444.0,2835.0,2775.0,2795.0,1719.0,1498.0,2756.0,2091.0,1837.0,1457.0,2460.0,2684.0,3326.0,3451.0,3715.0,4733.0
风见幽香,,,,277.0,1517.0,4005.0,5764.0,7192.0,7289.0,3885.0,3065.0,4727.0,3646.0,2827.0,2120.0,2700.0,3339.0,4058.0,3813.0,4288.0,4959.0
小野塚小町,,,,237.0,855.0,1728.0,1988.0,1939.0,2234.0,1204.0,1091.0,1630.0,1267.0,983.0,850.0,1128.0,1090.0,1259.0,1105.0,1210.0,1555.0
四季映姬·夜摩仙那度,,,,225.0,1586.0,2200.0,2889.0,2486.0,3039.0,2030.0,2204.0,3809.0,3174.0,2680.0,2295.0,3238.0,3535.0,4417.0,3815.0,4151.0,5524.0
梅蒂欣·梅兰可莉,,,,93.0,306.0,500.0,856.0,971.0,1049.0,723.0,623.0,872.0,780.0,671.0,463.0,761.0,696.0,1029.0,866.0,823.0,1132.0
宇佐见莲子2,,,,90.0,,,,,,,,,,,,,,,,,
玛艾露贝莉·赫恩3,,,,25.0,,,,,,,,,,,,,,,,,
毛玉,,,,19.0,75.0,76.0,114.0,129.0,144.0,75.0,76.0,163.0,117.0,76.0,64.0,129.0,163.0,162.0,164.0,135.0,127.0
魂魄妖忌,,,,18.0,58.0,107.0,157.0,130.0,137.0,72.0,78.0,155.0,136.0,103.0,75.0,125.0,201.0,222.0,215.0,191.0,264.0
蕾拉·普莉兹姆利巴,,,,14.0,35.0,50.0,72.0,69.0,68.0,53.0,64.0,100.0,87.0,78.0,66.0,75.0,79.0,123.0,121.0,131.0,144.0
斯塔萨菲雅,,,,11.0,85.0,123.0,195.0,455.0,505.0,384.0,319.0,571.0,481.0,407.0,369.0,527.0,473.0,513.0,624.0,630.0,816.0
露娜切露德,,,,7.0,222.0,370.0,562.0,962.0,905.0,463.0,338.0,637.0,532.0,395.0,441.0,570.0,490.0,519.0,604.0,705.0,1046.0
杂鱼妖精,,,,6.0,19.0,,,,,,,,,,,,,,,,
桑尼米尔克,,,,6.0,169.0,227.0,368.0,533.0,535.0,373.0,286.0,500.0,436.0,355.0,318.0,486.0,345.0,415.0,465.0,555.0,753.0
萨丽爱尔,,,,3.0,14.0,13.0,83.0,103.0,121.0,98.0,116.0,201.0,226.0,180.0,190.0,241.0,199.0,293.0,299.0,310.0,403.0
旧作的一种杂鱼译名未定,,,,3.0,7.0,,,,,,,,,,,,,,,,
留琴,,,,2.0,9.0,13.0,39.0,26.0,41.0,25.0,43.0,77.0,84.0,58.0,67.0,103.0,117.0,133.0,119.0,117.0,248.0
大蛤蟆,,,,2.0,12.0,5.0,8.0,9.0,9.0,7.0,1.0,,,,,,,,,,
奥莲姬,,,,1.0,9.0,17.0,29.0,35.0,34.0,33.0,41.0,48.0,40.0,55.0,57.0,60.0,59.0,62.0,55.0,78.0,222.0
东风谷早苗,,,,,2135.0,5315.0,7221.0,6466.0,6880.0,4573.0,4157.0,6189.0,5092.0,4306.0,3289.0,4737.0,5261.0,6185.0,6535.0,6762.0,9426.0
洩矢诹访子,,,,,1987.0,2691.0,4120.0,3776.0,3690.0,2206.0,2138.0,3371.0,2813.0,2383.0,1945.0,3133.0,3609.0,5013.0,4749.0,4914.0,5943.0
键山雏,,,,,1092.0,1945.0,2742.0,3107.0,3282.0,1705.0,1426.0,2249.0,2067.0,1546.0,1257.0,1610.0,1825.0,2552.0,2358.0,2774.0,3647.0
河城荷取,,,,,934.0,2116.0,3140.0,4090.0,4162.0,2301.0,2237.0,3387.0,2818.0,2129.0,1589.0,2309.0,2371.0,3107.0,2630.0,2849.0,3262.0
犬走椛,,,,,848.0,1816.0,2261.0,2603.0,3823.0,2543.0,2624.0,4490.0,4174.0,3161.0,2394.0,3074.0,3149.0,4129.0,3517.0,3695.0,4621.0
八坂神奈子,,,,,773.0,1659.0,2462.0,2172.0,2228.0,1205.0,952.0,1308.0,1243.0,1015.0,685.0,927.0,1015.0,1222.0,1287.0,1287.0,1734.0
因幡天为（因幡帝）,,,,,744.0,932.0,1076.0,1239.0,1198.0,841.0,897.0,1492.0,1345.0,1035.0,761.0,999.0,1176.0,1452.0,1414.0,1404.0,1871.0
宇佐见莲子,,,,,504.0,801.0,1320.0,1639.0,1962.0,1889.0,2577.0,3774.0,3241.0,2678.0,2212.0,2746.0,2290.0,2611.0,2615.0,3220.0,3690.0
稗田阿求,,,,,413.0,649.0,859.0,839.0,1294.0,956.0,785.0,1391.0,1278.0,981.0,758.0,1060.0,917.0,960.0,1112.0,3011.0,1499.0
莉莉霍瓦特（莉莉白）,,,,,231.0,290.0,455.0,527.0,572.0,365.0,307.0,474.0,454.0,464.0,473.0,794.0,750.0,816.0,981.0,1161.0,1692.0
玛艾露贝莉·赫恩,,,,,190.0,279.0,511.0,725.0,871.0,929.0,1231.0,1951.0,1760.0,1568.0,1348.0,1705.0,1423.0,1668.0,1762.0,2220.0,2511.0
秋静叶,,,,,120.0,706.0,1480.0,1576.0,1684.0,899.0,738.0,1077.0,1041.0,900.0,584.0,623.0,722.0,934.0,873.0,749.0,937.0
秋穰子,,,,,97.0,712.0,1523.0,1615.0,1647.0,881.0,678.0,983.0,942.0,734.0,537.0,620.0,708.0,871.0,811.0,765.0,944.0
绵月丰姬,,,,,35.0,139.0,184.0,274.0,320.0,279.0,232.0,394.0,363.0,261.0,285.0,335.0,546.0,561.0,522.0,497.0,1629.0
铃仙二号,,,,,28.0,64.0,146.0,168.0,162.0,124.0,120.0,212.0,203.0,168.0,182.0,244.0,317.0,329.0,389.0,340.0,
雪,,,,,28.0,53.0,102.0,130.0,99.0,81.0,100.0,162.0,133.0,113.0,117.0,121.0,132.0,137.0,117.0,140.0,256.0
野槌,,,,,25.0,34.0,81.0,62.0,49.0,25.0,37.0,72.0,43.0,46.0,32.0,30.0,58.0,78.0,57.0,64.0,85.0
乌鸦,,,,,15.0,,,,,,,,,,,,,,,,
绵月依姬,,,,,15.0,256.0,609.0,610.0,659.0,476.0,524.0,846.0,720.0,479.0,476.0,572.0,755.0,898.0,853.0,786.0,1128.0
月之兔（玉兔）,,,,,13.0,7.0,7.0,14.0,12.0,15.0,20.0,,,,,,,,,,
永远亭的妖怪兔,,,,,12.0,16.0,25.0,22.0,22.0,21.0,17.0,,,,,,,,,,
前鬼和后鬼,,,,,6.0,,,,,,,,,,,,,,,,
月之都的门卫,,,,,5.0,12.0,11.0,11.0,14.0,15.0,6.0,16.0,8.0,11.0,7.0,7.0,12.0,10.0,12.0,13.0,19.0
