角色名,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21
键山雏,,,,,0.215162334,0.293301829,0.331423016,0.39649206,0.363806539,0.265829902,0.23848447,0.221102136,0.263921988,0.255618557,0.245799528,0.25663209,0.279690499,0.287163666,0.277414071,0.270242546,0.300101484
物部布都,,,,,,,,,0.511352712,0.327854123,0.437023859,0.374904301,0.334021958,0.369838767,0.323630968,0.339880821,0.38159144,0.32643586,0.319765759,0.292073189,0.293234824
稀神探女,,,,,,,,,,,,0.625420683,0.520358488,0.453749292,0.425570689,0.331285488,0.37264115,0.361227259,0.343228043,0.263216417,0.286511258
饭纲丸龙,,,,,,,,,,,,,,,,,0.212086876,0.18513838,0.176393022,0.202957357,0.279806521
摩多罗隐岐奈,,,,,,,,,,,,,,0.292393371,0.26754381,0.306807648,0.29968052,0.280152638,0.284042698,0.256299201,0.273250527
河城荷取,,,,,0.199933058,0.325642072,0.406668465,0.517895236,0.493848823,0.455419402,0.375153594,0.364161055,0.39641739,0.379189487,0.35878065,0.393860476,0.346892174,0.343424964,0.312222556,0.28455822,0.266792439
茨木华扇,,,,,,,,0.061777672,0.403371032,0.383065161,0.328445043,0.302363952,0.305877732,0.269848869,0.260102007,0.37540579,0.31483676,0.309597855,0.290764149,0.249865759,0.260650666
火焰猫燐,,,,,,0.197704936,0.134092031,0.21020147,0.220688119,0.247286578,0.223317413,0.21407434,0.248316521,0.248828415,0.252908453,0.277337935,0.254870164,0.267218501,0.297903301,0.243462711,0.254951357
米斯蒂娅·萝蕾拉,,,0.044713146,0.195862776,0.150326342,0.143206779,0.195035551,0.182299123,0.194430332,0.214141214,0.187202829,0.207062169,0.241220036,0.206080384,0.207631374,0.18010072,0.15283755,0.151706878,0.188435393,0.21703241,0.24939326
饕餮尤魔,,,,,,,,,,,,,,,,,,0.224160572,0.404463676,0.277342127,0.243921772
魅魔,0.119485294,0.0308138,0.032570105,0.020572145,0.088126185,0.092502944,0.076024166,0.066295331,0.047267142,0.04923021,0.046633758,0.0448104,0.05508745,0.057149633,0.080076957,0.110262635,0.113037693,0.129412799,0.161033607,0.198702167,0.238487941
圣白莲,,,,,,,0.577981138,0.498506755,0.446566049,0.510663514,0.424346358,0.292492539,0.314734175,0.325052815,0.290518049,0.299054995,0.267098415,0.256059099,0.254249365,0.232069947,0.233103064
橙,0.358455882,0.208585726,0.132441472,0.097276043,0.186907286,0.175039059,0.158797213,0.120346054,0.135071868,0.127240054,0.162408779,0.182641439,0.173571167,0.189390512,0.174840049,0.194614875,0.193607629,0.209058841,0.248835622,0.221905616,0.227957305
上白泽慧音,,,0.474813481,0.390129929,0.383033025,0.359613949,0.317467184,0.327689026,0.338181847,0.238279506,0.262658803,0.235385841,0.227453839,0.21790384,0.225764774,0.21590257,0.232101152,0.21403689,0.223216577,0.226783887,0.222824726
大妖精,,,0.005454078,0.018064737,0.037403771,0.052458613,0.098383017,0.150225172,0.186000797,0.149564805,0.14556421,0.165748481,0.162720609,0.184089282,0.213651392,0.232262595,0.19801867,0.163668482,0.196696607,0.170488739,0.217763694
封兽鵺,,,,,,,0.185838546,0.231467172,0.269401218,0.295982096,0.283381949,0.312422855,0.344094509,0.333670059,0.315038196,0.291378584,0.292861251,0.273303699,0.243522892,0.212225059,0.212806218
玛艾露贝莉·赫恩,,,0.003910471,0.01322088,0.024768493,0.019587319,0.037154476,0.045498933,0.043777307,0.122036458,0.180578261,0.200634345,0.220746358,0.262505325,0.282658738,0.263473847,0.22671296,0.189720823,0.228026973,0.237692877,0.207946648
天弓千亦,,,,,,,,,,,,,,,,,0.286045448,0.229344667,0.184337547,0.186341854,0.203218876
小恶魔,,0.012114827,0.029071263,0.079496239,0.073775522,0.098837075,0.081271599,0.095287983,0.116602706,0.079398941,0.084030516,0.145033827,0.157565366,0.173816227,0.164802925,0.148981762,0.168506622,0.219067138,0.214043517,0.194479904,0.198572066
娜兹玲,,,,,,,0.390686951,0.367504148,0.248165199,0.221720604,0.230866216,0.250107026,0.256115477,0.242385246,0.232078176,0.237884473,0.184910289,0.245116731,0.259665839,0.2074557,0.194262281
哆来咪·苏伊特,,,,,,,,,,,,0.116357046,0.114635224,0.465269695,0.349815506,0.250171546,0.248979535,0.239762306,0.218550875,0.190399481,0.190202912
道神驯子,,,,,,,,,,,,,,,,,,,,,0.186260278
