角色名,rvs_1,rvs_2,rvs_3,rvs_4,rvs_5,rvs_6,rvs_7,rvs_8,rvs_9,rvs_10,rvs_11,rvs_12,rvs_13,rvs_14,rvs_15,rvs_16,rvs_17,rvs_18,rvs_19,rvs_20,rvs_21
幻月,0.045955882,0.011061364,0.006174428,0.016184181,0.022286065,0.082289831,0.10981438,0.149267599,0.187114574,0.192819699,0.282099775,0.303657641,0.348970273,0.357813275,0.379887386,0.385345398,0.341199055,0.280001538,0.278336837,0.392984509,0.61625028
吉吊八千慧,,,,,,,,,,,,,,,,1.376914588,0.973630775,0.867433338,1.26784788,0.761235727,0.615001968
森近霖之助,,,0.132750193,0.562400274,0.863912752,1.018232754,1.03944991,0.94536146,0.864447449,0.78091978,0.79759806,0.659069106,0.716446546,0.713175775,0.642240552,0.776252483,0.71594697,0.730289727,0.691714216,0.660653678,0.597525592
今泉影狼,,,,,,,,,,1.454035819,1.270827323,1.198259457,1.434214949,1.409196119,1.39676826,1.165570514,0.838721526,0.799432964,0.80493598,0.594698236,0.580049217
星熊勇仪,,,,,,0.988309179,0.838123546,0.762114245,0.781832535,0.808089828,0.827921488,0.804824774,0.7917924,0.757289741,0.708353551,0.751622158,0.803031248,0.780575717,0.704097846,0.628225586,0.565901675
宇佐见堇子,,,,,,,,,,,1.253368379,1.021345874,1.023778321,1.143695401,1.233059884,0.924828956,0.991475914,0.860576157,0.715302083,0.613385611,0.560076217
庭渡久侘歌,,,,,,,,,,,,,,,,1.074994482,0.807314081,0.907433557,0.740069344,0.598545637,0.550921925
少名针妙丸,,,,,,,,,,1.721354037,1.988481798,1.273777792,1.023778321,1.023607384,0.901445481,0.87954094,0.777334248,0.628003451,0.574954271,0.528742794,0.535526071
苏我屠自古,,,,,,,,,0.516479995,0.567065205,0.549497281,0.578269769,0.73296976,0.784248275,0.819591293,0.889075259,0.765199554,0.734861181,0.672254225,0.583156034,0.534693862
奥野田美宵,,,,,,,,,,,,,,,,0.542661664,0.518222832,0.422288035,0.569647001,0.553476085,0.511392028
冈崎梦美,0.045955882,0.044245457,0.049395421,0.048552542,0.129783555,0.28178033,0.405808313,0.495131548,0.573927452,0.640687272,0.657007618,0.553449057,0.537995838,0.510578304,0.564584015,0.556963143,0.443273249,0.420002308,0.45229736,0.440802205,0.508063195
宫出口瑞灵,,,,,,,,,,,,,,,,,,0.125143545,0.146834475,0.278661743,0.502237737
堀川雷鼓,,,,,,,,,,0.929040366,0.815057003,0.815386779,0.8102984,0.901885516,0.796504215,0.641182962,0.59245861,0.543431557,0.495345218,0.432557774,0.498908903
梅蒂欣·梅兰可莉,,,,0.376282197,0.401149169,0.415605206,0.540236262,0.589182271,0.573927452,0.633675646,0.572469575,0.460503414,0.515524267,0.548156867,0.485878065,0.604634738,0.496808665,0.588003231,0.510677332,0.452344407,0.471029924
绵月依姬,,,,,0.019664175,0.212789865,0.384350331,0.370135103,0.360551183,0.417191712,0.481499289,0.446772808,0.475868555,0.391307212,0.49952043,0.454469212,0.538923193,0.513145677,0.503011275,0.432008146,0.469365507
高丽野阿吽,,,,,,,,,,,,,,1.36753293,0.991694971,0.62052527,0.476108304,0.470288298,0.567288214,0.590850835,0.459379007
豫母都日狭美,,,,,,,,,,,,,,,,,,,1.124551585,0.621630042,0.456050174
露娜切露德,,,,0.028322316,0.291029789,0.307547852,0.354687826,0.583721261,0.495142368,0.40579782,0.31058542,0.336399856,0.351613988,0.322685488,0.462790986,0.452880159,0.349764721,0.296573058,0.3561768,0.387488222,0.435244965
宫古芳香,,,,,,,,,0.825602026,0.55742422,0.515498285,0.505391935,0.522794481,0.538353764,0.502668668,0.558552196,0.551771693,0.572003143,0.503011275,0.453443664,0.432332236
若鹭姬,,,,,,,,,,0.615270129,0.514579393,0.479515023,0.50957591,0.535086063,0.543595762,0.558552196,0.472539277,0.456002506,0.408070108,0.385289708,0.429419506
蕾蒂·霍瓦特洛克,0.091911765,0.28759547,0.3581168,0.267038979,0.592547138,0.656656225,0.682868733,0.645005926,0.513197283,0.494319591,0.488850424,0.40822149,0.424977056,0.44195658,0.433407432,0.421893622,0.431138555,0.394859312,0.406301018,0.463886609,0.409030402
妖精（女仆妖精、向日葵妖精等）,,,,0.024276271,0.024907955,0.014961787,0.041022613,0.047328751,0.066201355,0.051710737,0.049620156,0.051225724,0.057500784,0.053917069,0.055618871,0.076274553,0.052107805,0.032571608,0.050713915,0.046718438,0.404037152
姬虫百百世,,,,,,,,,,,,,,,,,0.88940172,0.59428898,0.474705834,0.428160745,0.403621048
露娜萨·普莉兹姆利巴,,1.780879642,0.759454592,1.076248005,1.059243557,0.906019349,0.86147488,0.756046457,0.683898298,0.675745399,0.728681177,0.676496414,0.652997405,0.713175775,0.619153474,0.617347164,0.644566415,0.593146116,0.62507849,0.48037547,0.403204944
日白残无,,,,,,,,,,,,,,,,,,,0.827344454,0.556773857,0.403204944
先代巫女,,,,,,,,,,,,,,,,,,,,,0.393218443
秋穰子,,,,,0.127161665,0.591821813,0.961191386,0.979947855,0.901104398,0.772155248,0.623008623,0.519122541,0.622594692,0.59962316,0.563534602,0.492606489,0.505374332,0.49771702,0.478244014,0.420465943,0.392802339
秋静叶,,,,,0.1573134,0.586834551,0.93405335,0.956283479,0.921347788,0.787931405,0.678142129,0.568763964,0.688026618,0.735232758,0.612856998,0.494990068,0.51536761,0.533717218,0.514805209,0.411671884,0.38988961
梦月,,,0.006174428,0.012138135,0.01048756,0.01994905,0.034711442,0.04247452,0.064012881,0.082386599,0.147022684,0.162654876,0.207531564,0.201780546,0.193091931,0.203398808,0.179165194,0.170858082,0.157449016,0.262172882,0.379487006
寅丸星,,,,,,,1.361950763,1.455662479,1.109009481,1.069272875,0.929918475,0.807993375,0.757424116,0.657624856,0.657981742,0.608607371,0.464687416,0.443431008,0.43991373,0.379793421,0.365755568
幽谷响子,,,,,,,,,0.78785084,0.73972648,0.722248934,0.714519632,0.729665117,0.75565589,0.754527708,0.584771574,0.440418027,0.354287661,0.357356193,0.308341692,0.359514005
天火人血枪,,,,,,,,,,,,,,,,,,,0.772502662,0.430908888,0.35701738
骊驹早鬼,,,,,,,,,,,,,,,,0.752416685,0.549630276,0.497145589,0.706456633,0.414420028,0.353272443
黑谷山女,,,,,,0.320847219,0.396972674,0.604351742,0.627545079,0.605629145,0.555010631,0.51701014,0.528742838,0.524466034,0.512113382,0.393290664,0.414721027,0.382287815,0.339665293,0.324280924,0.34203763
斯塔萨菲雅,,,,0.044506496,0.111430325,0.102238881,0.12306784,0.27608438,0.276294913,0.33655802,0.293126476,0.30154524,0.317906632,0.332488592,0.387233274,0.418715515,0.337630027,0.293144468,0.367970734,0.346266071,0.339541005
蓬莱人形封面的少女（夹克子）,,,,,,,,,,,,,,0.020423132,0.207783708,0.203398808,0.17345475,0.188001033,0.233519889,0.289654316,0.321232421
桑尼米尔克,,,,0.024276271,0.221549704,0.188684763,0.232251103,0.323413131,0.292708472,0.326917035,0.262803047,0.264050123,0.288164847,0.290008477,0.333713228,0.386139925,0.246262916,0.23714416,0.27420896,0.30504392,0.313326442
清兰,,,,,,,,,,,,0.30154524,0.510897768,0.443590431,0.460692161,0.507702494,0.371892694,0.256001407,0.45229736,0.329227582,0.293769546
云居一轮,,,,,,,0.494795829,0.606778858,0.444260335,0.663475054,0.772787982,0.480043123,0.507593125,0.574298476,0.423962718,0.378989186,0.34191286,0.27714438,0.25828715,0.235790705,0.292937338
C62社团Cut的少女（冴月麟）,,,,,,,,,,,,,,,,,,,,0.230844047,0.2891924
杖刀偶磨弓,,,,,,,,,,,,,,,,0.866828515,0.73521972,0.49428843,0.376816184,0.32153278,0.2792059
豪德寺三花,,,,,,,,,,,,,,,,,0.545347443,0.353716229,0.297796828,0.234141819,0.274628754
卡娜·安娜贝拉尔,,0.022122728,0.009261641,0.036414406,0.045883075,0.087277093,0.089618632,0.097084617,0.10832949,0.128838617,0.182859463,0.145227567,0.185720922,0.203414396,0.210931946,0.22167292,0.207003611,0.186286738,0.189882334,0.196767069,0.269635504
丁礼田舞,,,,,,,,,,,,,,0.651906379,0.511063969,0.32893401,0.461118388,0.374859203,0.312539245,0.28800543,0.2692194
九十九弁弁,,,,,,,,,,0.376874866,0.327125471,0.264050123,0.356901416,0.475450517,0.40927094,0.36627676,0.326209138,0.254858543,0.258876846,0.228645533,0.267138879
梅露兰·普莉兹姆利巴,,0.188043192,0.191407255,0.234670618,0.281853174,0.256844017,0.281478239,0.268196255,0.233619659,0.215607481,0.239830753,0.209655797,0.248509134,0.29817773,0.270748468,0.297947473,0.343340471,0.305715965,0.329640449,0.281959515,0.263810046
爱丽丝的人偶（上海、蓬莱、大江户等）,,,0.009261641,0.436972874,0.249079549,0.331652954,0.289051645,0.26576914,0.251674574,0.20421359,0.205831757,0.238701311,0.25049192,0.225471379,0.210931946,0.230412712,0.286236027,0.270858631,0.280695624,0.279211371,0.245917566
爱塔妮缇拉尔瓦,,,,,,,,,,,,,,0.481168994,0.490075716,0.332112117,0.242693888,0.285144424,0.225853832,0.247882536,0.243837045
三头慧之子,,,,,,,,,,,,,,,,,,,0.794911136,0.31328835,0.233434441
尔子田里乃,,,,,,,,,,,,,,0.571030775,0.475383938,0.320194218,0.411151999,0.322287485,0.234699282,0.210507786,0.222199628
胡桃,,,0.006174428,0.004046045,0.01573134,0.025767523,0.037235911,0.044901635,0.075502372,0.065733988,0.089132502,0.087664641,0.106409496,0.120088017,0.136423647,0.138247627,0.146330139,0.132000725,0.135630238,0.106627965,0.21637417
影华扇（断善修恶的怪臂 - 茨木童子之臂）,,,,,,,,,,,,,,,,0.098521298,0.089225694,0.079429008,0.09788965,0.129162741,0.215541962
莉莉卡·普莉兹姆利巴,,0.298656834,0.138924621,0.169933896,0.330358139,0.285105171,0.302936222,0.259701351,0.2172061,0.257677234,0.283018666,0.23764511,0.243221706,0.281839224,0.305379086,0.287618627,0.283380805,0.249715658,0.27774714,0.232492933,0.213461441
封兽魑魅,,,,,,,,,,,,,,,,,,,,,0.212629232
