角色名,vote_1,vote_2,vote_3,vote_4,vote_5,vote_6,vote_7,vote_8,vote_9,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21
斯塔萨菲雅,,,,11,85,123,195,455,505,384,319,571,481,407,369,527,473,513,624,630,816
蓬莱人形封面的少女（夹克子）,,,,,,,,,,,,,,25,198,256,243,329,396,527,772
桑尼米尔克,,,,6,169,227,368,533,535,373,286,500,436,355,318,486,345,415,465,555,753
清兰,,,,,,,,,,,,571,773,543,439,639,521,448,767,599,706
云居一轮,,,,,,,784,1000,812,757,841,909,768,703,404,477,479,485,438,429,704
C62社团Cut的少女（冴月麟）,,,,,,,,,,,,,,,,,,,,420,695
杖刀偶磨弓,,,,,,,,,,,,,,,,1091,1030,865,639,585,671
豪德寺三花,,,,,,,,,,,,,,,,,764,619,505,426,660
卡娜·安娜贝拉尔,,2,3,9,35,105,142,160,198,147,199,275,281,249,201,279,290,326,322,358,648
丁礼田舞,,,,,,,,,,,,,,798,487,414,646,656,530,524,647
九十九弁弁,,,,,,,,,,430,356,500,540,582,390,461,457,446,439,416,642
梅露兰·普莉兹姆利巴,,17,62,58,215,309,446,442,427,246,261,397,376,365,258,375,481,535,559,513,634
爱丽丝的人偶（上海、蓬莱、大江户等）,,,3,108,190,399,458,438,460,233,224,452,379,276,201,290,401,474,476,508,591
爱塔妮缇拉尔瓦,,,,,,,,,,,,,,589,467,418,340,499,383,451,586
三头慧之子,,,,,,,,,,,,,,,,,,,1348,570,561
尔子田里乃,,,,,,,,,,,,,,699,453,403,576,564,398,383,534
胡桃,,,2,1,12,31,59,74,138,75,97,166,161,147,130,174,205,231,230,194,520
影华扇（断善修恶的怪臂 - 茨木童子之臂）,,,,,,,,,,,,,,,,124,125,139,166,235,518
莉莉卡·普莉兹姆利巴,,27,45,42,252,343,480,428,397,294,308,450,368,345,291,362,397,437,471,423,513
封兽魑魅,,,,,,,,,,,,,,,,,,,,,511
无名的读书妖怪（朱鹭子）,,,24,18,48,146,354,480,508,288,253,358,361,250,223,321,360,444,448,408,503
梦子,,,1,9,32,52,119,136,171,125,135,244,256,167,174,192,221,272,288,281,482
孙美天,,,,,,,,,,,,,,,,,,,1269,582,461
铃瑚,,,,,,,,,,,,851,679,465,313,362,339,418,361,333,442
Reisen（铃仙二号）,,,,,28,64,146,168,162,124,120,212,203,168,182,244,317,329,389,340,424
北白河千百合,,9,37,21,70,115,150,121,130,95,118,197,176,149,128,179,180,207,216,203,418
易者,,,,,,,,,,,129,1083,1381,1161,756,684,518,628,472,464,415
坂田合欢,,,,,,,,,,,,,,327,217,153,192,180,174,175,405
萨丽爱尔,,,,3,14,13,83,103,121,98,116,201,226,180,190,241,199,293,299,310,403
矢田寺成美,,,,,,,,,,,,,,948,445,398,297,345,303,282,380
九十九八桥,,,,,,,,,,269,268,450,483,372,289,242,310,283,254,272,379
戎璎花,,,,,,,,,,,,,,,,230,149,259,215,235,362
山城高岭,,,,,,,,,,,,,,,,,356,374,237,264,361
爱莲,3,3,7,6,6,39,44,71,97,64,92,153,140,131,134,141,157,151,179,188,350
玉造魅须丸,,,,,,,,,,,,,,,,,556,363,230,206,329
艾丽,,,5,3,41,90,133,133,148,101,112,199,139,105,77,124,132,150,158,204,326
