名次,角色名,票数,本命数,本命率,本命加权,票数占比,本命占比,男性数,男性比例,女性数,女性比例
135,朝仓理香子,10,0,0.0,10,0.0015,0.0,4,0.4,6,0.6
135,STG作品中没有名称的角色,10,0,0.0,10,0.0015,0.0,8,0.8,2,0.2
137,雪,9,2,0.2222,11,0.0013,0.0003,8,0.8889,1,0.1111
137,非想天则,9,1,0.1111,10,0.0013,0.0002,8,0.8889,1,0.1111
137,矜羯罗,9,1,0.1111,10,0.0013,0.0002,5,0.5556,4,0.4444
140,命莲,8,0,0.0,8,0.0012,0.0,7,0.875,1,0.125
141,依莉斯,7,2,0.2857,9,0.001,0.0003,5,0.7143,2,0.2857
141,龙神,7,1,0.1429,8,0.001,0.0002,5,0.7143,2,0.2857
141,秦河胜,7,0,0.0,7,0.001,0.0,1,0.1429,6,0.8571
141,玄爷,7,0,0.0,7,0.001,0.0,6,0.8571,1,0.1429
141,Reisen,7,0,0.0,7,0.001,0.0,7,1.0,0,0.0
141,嫦娥,7,0,0.0,7,0.001,0.0,4,0.5714,3,0.4286
147,留琴,6,0,0.0,6,0.0009,0.0,5,0.8333,1,0.1667
147,UFO,6,0,0.0,6,0.0009,0.0,5,0.8333,1,0.1667
149,奥莲姬,5,1,0.2,6,0.0007,0.0002,3,0.6,2,0.4
149,露易兹,5,1,0.2,6,0.0007,0.0002,1,0.2,4,0.8
149,求闻史纪中的受访人群,5,0,0.0,5,0.0007,0.0,3,0.6,2,0.4
149,阴阳玉,5,0,0.0,5,0.0007,0.0,5,1.0,0,0.0
153,苏格拉底,4,1,0.25,5,0.0006,0.0002,3,0.75,1,0.25
153,月夜见,4,1,0.25,5,0.0006,0.0002,4,1.0,0,0.0
153,酒吧老板,4,0,0.0,4,0.0006,0.0,3,0.75,1,0.25
156,幽玄魔眼,3,0,0.0,3,0.0004,0.0,2,0.6667,1,0.3333
156,邪眼西格玛,3,0,0.0,3,0.0004,0.0,3,1.0,0,0.0
156,岩笠,3,0,0.0,3,0.0004,0.0,3,1.0,0,0.0
156,久米 / 竿打,3,0,0.0,3,0.0004,0.0,2,0.6667,1,0.3333
156,万岁乐,3,0,0.0,3,0.0004,0.0,3,1.0,0,0.0
156,妖怪兔,3,0,0.0,3,0.0004,0.0,2,0.6667,1,0.3333
162,绿巨人,2,0,0.0,2,0.0003,0.0,2,1.0,0,0.0
162,阿菊,2,0,0.0,2,0.0003,0.0,1,0.5,1,0.5
162,黄帝,2,0,0.0,2,0.0003,0.0,1,0.5,1,0.5
162,神玉,2,0,0.0,2,0.0003,0.0,1,0.5,1,0.5
162,萨拉,2,0,0.0,2,0.0003,0.0,2,1.0,0,0.0
162,伊豆能卖,2,0,0.0,2,0.0003,0.0,2,1.0,0,0.0
162,邪龙,2,0,0.0,2,0.0003,0.0,2,1.0,0,0.0
162,怨灵,2,0,0.0,2,0.0003,0.0,2,1.0,0,0.0
162,河童（含山童）,2,0,0.0,2,0.0003,0.0,0,0.0,2,1.0
162,兜风四人组,2,0,0.0,2,0.0003,0.0,2,1.0,0,0.0
162,导航,2,0,0.0,2,0.0003,0.0,2,1.0,0,0.0
173,彭祖,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
173,尼西号,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
173,菊理,1,0,0.0,1,0.0001,0.0,0,0.0,1,1.0
173,Flower～战车,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
173,咪咪号,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
173,玛○奇,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
173,木花咲耶姬,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
173,天照大御神,1,0,0.0,1,0.0001,0.0,0,0.0,1,1.0
173,野槌,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
173,酒虫,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
173,怨灵少女,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
173,读书狐狸,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
173,白仙和尚,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
173,幽灵,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
173,狸猫,1,0,0.0,1,0.0001,0.0,0,0.0,1,1.0
173,杀死大老爷的侍童,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
189,八尺大人,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,石长姬,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,石凝老命,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,天宇受卖命,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,火雷神,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,瑞江浦岛子,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,前鬼 / 后鬼,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,雷兽（务光）,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,运松翁,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,管狐,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,水鬼鬼神长,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,人面犬,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,烟烟罗,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,卓柏卡布拉,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,沓颊,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,稻荷大人,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,佑天上人,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,野铁炮,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,地精,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,座敷童子,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,盐家老板,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,马凭,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,竹扫帚付丧神,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,大老爷,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,酒吧客人,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,百鬼夜行绘卷妖怪（黑鬼）,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,卖脚婆,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,袈裟罗婆娑罗,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,饿神,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
189,睡鼠,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
